Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole;Note
MK;Indicateurs macro;66;Fidji;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;6101.130428;X;Sources internationales sûres;
MK;Indicateurs macro;67;Finlande;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;46310.120883;X;Sources internationales sûres;
MK;Indicateurs macro;68;France;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;38720.645922;X;Sources internationales sûres;
MK;Indicateurs macro;74;Gabon;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;7230.389368;X;Sources internationales sûres;
MK;Indicateurs macro;75;Gambie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;679.778473;X;Sources internationales sûres;
MK;Indicateurs macro;73;Géorgie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;4051.839171;X;Sources internationales sûres;
MK;Indicateurs macro;81;Ghana;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2025.820309;X;Sources internationales sûres;
MK;Indicateurs macro;84;Grèce;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;18934.301204;X;Sources internationales sûres;
MK;Indicateurs macro;86;Grenade;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;10152.836673;X;Sources internationales sûres;
MK;Indicateurs macro;85;Groenland;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;50046.1168;X;Sources internationales sûres;
MK;Indicateurs macro;89;Guatemala;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;4233.644814;X;Sources internationales sûres;
MK;Indicateurs macro;90;Guinée;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;855.575057;X;Sources internationales sûres;
MK;Indicateurs macro;61;Guinée équatoriale;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;9667.903765;X;Sources internationales sûres;
MK;Indicateurs macro;175;Guinée-Bissau;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;738.550286;X;Sources internationales sûres;
MK;Indicateurs macro;91;Guyana;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;6124.922066;X;Sources internationales sûres;
MK;Indicateurs macro;93;Haïti;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;775.892196;X;Sources internationales sûres;
MK;Indicateurs macro;95;Honduras;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2453.729573;X;Sources internationales sûres;
MK;Indicateurs macro;97;Hongrie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;14693.135295;X;Sources internationales sûres;
MK;Indicateurs macro;36;Îles Caïmanes;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;82620.796779;X;Sources internationales sûres;
MK;Indicateurs macro;47;Îles Cook;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;19741.188968;X;Sources internationales sûres;
MK;Indicateurs macro;127;Îles Marshall;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3578.31515;X;Sources internationales sûres;
MK;Indicateurs macro;25;Îles Salomon;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1911.431453;X;Sources internationales sûres;
MK;Indicateurs macro;224;Îles Turques-et-Caïques;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;27546.005658;X;Sources internationales sûres;
