Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;12;Bahamas;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1867;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;12;Bahamas;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;29.14;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;12;Bahamas;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;777;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;12;Bahamas;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;52.48;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;16;Bangladesh;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2435;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;16;Bangladesh;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;48.1;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;16;Bangladesh;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;127;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;16;Bangladesh;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;12.58;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;14;Barbade;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2224;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;14;Barbade;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;37.51;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;14;Barbade;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;687;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;14;Barbade;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;49.79;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2501;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;41.32;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;845;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;51.69;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;255;Belgique;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2581;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;255;Belgique;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;39.86;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;255;Belgique;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;1187;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;255;Belgique;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;58.66;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;23;Belize;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2223;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;23;Belize;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;41.57;Fc;Donnée calculée
