Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;48;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;9;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;27;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;37;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;76;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;77;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;33;Canada;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1418;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;33;Canada;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1431;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;40;Chili;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;703;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;40;Chili;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;736;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;351;Chine;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;20069;A;Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées
FBS;Nouveaux Bilans Alimentaire;351;Chine;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;20535;A;Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;24;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;334;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;4;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;21;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;41;Chine, continentale;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;19384;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;41;Chine, continentale;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;19388;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;214;Chine, Taiwan Province de;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;657;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;214;Chine, Taiwan Province de;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;791;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;50;Chypre;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;25;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;50;Chypre;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;30;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;44;Colombie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1564;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;44;Colombie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1639;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;46;Congo;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;7;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;46;Congo;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;107;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;48;Costa Rica;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;133;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;48;Costa Rica;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;131;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;107;Côte d'Ivoire;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;45;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;107;Côte d'Ivoire;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;45;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;98;Croatie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;66;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;98;Croatie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;45;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;49;Cuba;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;29;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;49;Cuba;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;323;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;54;Danemark;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;152;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;54;Danemark;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;145;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;72;Djibouti;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;3;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;55;Dominique;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;55;Dominique;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;3;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;59;Égypte;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1429;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;59;Égypte;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1555;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;60;El Salvador;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;136;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;60;El Salvador;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;150;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;225;Émirats arabes unis;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;47;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;225;Émirats arabes unis;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;420;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;58;Équateur;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;340;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;58;Équateur;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;340;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;203;Espagne;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1515;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;203;Espagne;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1415;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;63;Estonie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;20;Im;Données de la FAO basées sur une méthodologie d'imputation
